SETOR;TRABALHO;PECA;TEMPO
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CE0031;2
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XM0001;1.19
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CE0030;2
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XL0003;1.2
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CE0001;1.227
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XE0159;1.304
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CE0002;1.227
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XE0002;0.488
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CE0033;3
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;DM1051;0.679
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CL0001;1.2
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XL0001;1.207
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XM0002;1.944
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CM0000;1.944
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CM0001;0.6
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CM0005;0.6
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XE0001;0.949
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CE0160;0.468
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CE0161;0.6
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CP0089;0.454
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CP0090;0.488
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;DE0159;0.52
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;DP0087;0.6
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;TE0155;0.649
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;TE0156;0.428
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;TE0200;1.227
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;TP0088;0.632
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XE0158;1.304
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XE0208;1.695
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;TE0187;1.105
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XM0005;0.4
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CM0003;0.6
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CM0002;1.035
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CM0004;0.95
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;XM0000;1.19
FUNDIÇÃO;02 - FUNDIR MACHO DE AREIA;CE0032;1.4
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;CE0031;0.3
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;CM0002;0.9
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;CM0005;0.4
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;XE0001;0.374
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;XE0159;0.5
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;CE0032;0.5
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;CE0033;0.5
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;CL0001;0.5
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;XL0001;0.8
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;XM0002;0.8
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;CM0001;0.16
FUNDIÇÃO;03 - ACABAR MACHO DE AREIA;CM0000;0.2
